Time (msec);Timing Advance (degrees);PLX Engine Speed (rpm);PLX Manifold Absolute Pressure (bar);PLX O2 - Wideband (Lambda)
97655;19,00;1877;0,20;1,12
97853;19,00;1896;0,20;1,12
98050;19,50;1896;0,20;1,11
98249;19,50;1877;0,20;1,11
98446;19,00;1877;0,21;1,09
98618;19,50;1877;0,20;1,10
98817;19,00;1857;0,22;1,14
99017;19,00;1857;0,23;1,30
99214;19,00;1818;0,22;1,36
99410;19,00;1799;0,22;1,36
99608;18,50;1779;0,21;1,36
99784;18,50;1760;0,22;1,36
99981;18,50;1740;0,22;1,36
100180;18,50;1720;0,22;1,36
100378;18,00;1701;0,22;1,36
100576;18,00;1662;0,23;1,36
100749;18,00;1681;0,22;1,36
100951;18,00;1681;0,23;1,36
101128;18,00;1681;0,22;1,35
101327;18,00;1681;0,22;1,36
101525;18,00;1701;0,23;1,36
101701;18,00;1701;0,22;1,36
101900;18,00;1701;0,22;1,36
102077;18,00;1701;0,22;1,35
102273;18,00;1720;0,22;1,32
102470;18,00;1720;0,22;1,29
102672;18,00;1720;0,23;1,25
102846;18,00;1701;0,24;1,21
103044;18,00;1701;0,25;1,13
103243;18,00;1681;0,24;1,03
103441;18,00;1681;0,24;0,99
103639;18,00;1681;0,25;0,98
103835;18,00;1701;0,25;0,97
104033;18,00;1701;0,25;0,97
104229;18,00;1701;0,25;0,98
104403;18,00;1701;0,25;0,98
104603;18,50;1720;0,25;1,00
104803;18,50;1720;0,24;1,01
105000;18,50;1720;0,24;1,01
105196;18,50;1720;0,25;1,03
105410;18,50;1720;0,25;1,11
105608;18,50;1720;0,25;1,11
105806;18,50;1720;0,24;0,99
106006;18,50;1720;0,26;0,97
106209;18,50;1720;0,25;0,94
106408;18,50;1701;0,25;0,97
106609;18,00;1740;0,26;0,97
106785;24,50;1740;0,27;0,97
106983;24,50;1740;0,26;0,91
107179;24,50;1720;0,25;0,92
107361;18,50;1720;0,24;0,97
107559;18,50;1720;0,23;1,06
107732;18,00;1720;0,23;1,16
107930;18,50;1701;0,23;1,20
108130;18,00;1701;0,23;1,18
108328;18,50;1701;0,23;1,16
108550;18,00;1701;0,22;1,10
108751;18,00;1701;0,22;1,07
108947;18,00;1681;0,22;1,08
109144;18,00;1681;0,23;1,09
109343;18,00;1662;0,21;1,08
109543;18,00;1662;0,22;1,09
109715;18,00;1662;0,22;1,09
109914;18,00;1642;0,23;1,09
110113;18,00;1623;0,23;1,11
110312;17,50;1642;0,22;1,09
110487;17,50;1642;0,22;1,09
110687;17,50;1623;0,22;1,05
110886;17,50;1603;0,23;1,05
111058;17,50;1603;0,23;1,03
111259;17,50;1584;0,21;1,01
111458;17,00;1584;0,22;0,99
111631;24,00;1564;0,33;1,00
111836;26,00;1544;0,36;0,87
112008;31,00;1564;0,39;0,86
112205;32,00;1544;0,39;0,90
112413;24,50;1525;0,28;0,92
112649;16,00;1368;0,24;0,93
112847;20,00;1173;0,27;0,94
113047;19,50;1036;0,29;0,95
113246;19,00;978;0,31;0,95
113443;19,00;919;0,31;0,95
113618;19,00;880;0,33;0,94
113818;19,00;880;0,34;0,92
113992;19,00;841;0,36;0,92
114191;19,00;802;0,36;0,92
114389;19,00;841;0,37;0,93
114587;19,00;821;0,37;0,96
114785;19,00;841;0,37;0,97
114958;19,00;860;0,37;1,01
115145;18,50;841;0,37;1,02
115340;16,50;841;0,37;1,02
115539;19,00;841;0,37;1,02
115714;16,50;860;0,36;1,02
115913;14,50;841;0,37;1,02
116111;19,00;821;0,36;1,01
116307;14,50;821;0,38;1,01
116506;14,00;841;0,38;1,01
116680;13,50;841;0,38;1,01
116876;16,00;821;0,37;1,00
117079;14,00;821;0,37;0,99
117254;14,50;821;0,37;0,99
117452;12,50;821;0,37;0,99
117647;13,00;821;0,38;0,99
117846;13,50;821;0,37;0,99
118046;13,00;821;0,37;0,99
118239;12,50;821;0,37;0,98
118438;13,50;821;0,37;0,98
118638;13,50;821;0,37;0,98
118839;13,50;821;0,38;0,98
119066;15,00;821;0,38;0,98
119263;13,00;821;0,38;0,99
119434;14,50;802;0,38;1,01
119632;14,00;782;0,38;1,00
119834;12,00;821;0,39;1,01
120007;11,00;821;0,39;1,00
120211;13,50;821;0,38;0,99
120386;14,50;802;0,38;0,99
120584;12,00;821;0,38;0,99
120786;12,50;821;0,39;0,99
120959;11,00;821;0,38;0,99
121158;15,00;821;0,38;0,97
121355;10,00;821;0,42;0,98
121554;24,50;1134;0,61;0,98
121750;27,00;1486;0,64;0,91
121949;30,50;1447;0,66;0,98
122120;29,00;1310;0,69;0,99
122320;27,50;1153;0,74;0,96
122518;25,50;1036;0,80;0,95
122718;25,00;1153;0,79;0,96
122942;28,00;1290;0,77;0,95
123140;30,00;1486;0,71;1,03
123337;30,50;1564;0,71;1,02
123534;32,50;1701;0,65;1,02
123731;34,00;1857;0,62;1,00
123931;35,50;1975;0,57;0,98
124153;37,50;2053;0,39;0,98
124353;29,50;2014;0,26;1,02
124552;19,50;1838;0,22;0,95
124750;18,00;1642;0,22;0,94
124948;17,00;1486;0,24;0,88
125122;16,00;1290;0,25;0,85
125320;20,00;1134;0,27;0,91
125518;19,00;1056;0,29;0,91
125715;19,00;997;0,31;0,93
125890;19,00;978;0,31;0,93
126090;19,00;938;0,33;0,90
126291;19,00;919;0,33;0,91
126465;19,00;919;0,34;0,91
126641;19,00;919;0,34;0,91
126833;19,00;919;0,34;0,91
127031;19,00;899;0,34;0,94
127228;19,00;899;0,35;0,95
127425;19,00;899;0,35;0,96
127628;18,50;899;0,35;0,96
127829;19,00;899;0,36;0,98
128027;19,00;860;0,36;0,98
128200;19,00;880;0,37;0,99
128400;14,50;899;0,36;1,00
128600;15,50;860;0,35;1,01
128775;15,00;880;0,37;1,00
128970;15,50;880;0,36;1,01
129172;14,50;860;0,36;1,00
129348;14,00;880;0,37;1,00
129546;18,00;841;0,37;1,00
129744;13,00;860;0,37;1,00
129943;13,50;880;0,37;0,99
130140;13,50;880;0,37;0,98
130336;14,50;841;0,37;0,98
130563;18,00;841;0,37;0,98
130758;13,00;860;0,37;0,98
130958;18,50;841;0,38;0,99
131160;16,50;841;0,37;1,00
131360;12,00;821;0,37;1,00
131563;14,00;860;0,37;1,01
131762;12,50;860;0,37;0,98
131961;13,50;821;0,37;0,99
132159;13,00;841;0,37;0,99
132358;14,50;860;0,37;0,98
132531;14,00;841;0,37;0,98
132730;18,50;821;0,38;0,98
132931;14,00;841;0,37;0,97
133130;13,50;841;0,38;0,99
133330;18,00;821;0,38;1,00
133528;12,50;821;0,37;1,02
133727;12,00;841;0,38;1,01
133925;13,50;860;0,37;0,99
134124;15,00;841;0,37;0,97
134322;13,50;841;0,37;0,98
134506;14,00;860;0,38;0,97
134707;14,00;860;0,37;0,98
134906;18,00;802;0,38;0,98
135104;14,00;821;0,38;0,99
135305;17,00;841;0,37;0,99
135479;10,50;821;0,37;0,99
135677;11,50;841;0,37;0,99
135879;15,00;860;0,38;0,99
136053;10,00;841;0,37;0,98
136250;14,00;841;0,38;0,99
136446;15,00;821;0,39;0,98
136646;16,00;841;0,39;0,99
136844;14,00;821;0,38;0,98
137018;18,00;821;0,41;0,99
137218;23,00;1056;0,54;1,01
137417;27,50;1368;0,54;0,90
137614;30,00;1408;0,51;0,97
137812;28,50;1251;0,53;1,06
138011;27,00;1134;0,56;1,05
138230;26,50;1017;0,55;0,97
138426;19,00;1017;0,41;0,95
138625;19,50;1095;0,34;0,96
138828;19,00;978;0,33;1,01
139002;19,00;978;0,33;1,01
139199;19,00;919;0,35;1,03
139398;19,00;899;0,35;1,07
139594;19,00;899;0,36;1,06
139791;19,00;880;0,35;1,05
139966;19,00;880;0,36;1,04
140166;19,00;880;0,36;1,02
140363;18,50;899;0,36;1,00
