Tune Datalog export of DL
Tune file: Race map for Sunday - TPS disabled4.bin
Total Frames: 7976
Duration :00:04:59.547
Frame,Duration,RPM,VSS(kmh),Gear,MAP(mBar),Boost(psi),PA(mBar),TPS(%),TPS Voltage(v),INJ Duration(ms),INJ Duty(%),Fuel Value,IGN Table(degrees),IGN Final(degrees),ECT(C),IAT(C),A/F Ratio,D14(v),BAT Voltage(v),ELD Voltage(v),MAP Voltage(v),MIL
135,4.907,1782,0,0,311,0,4082,0,0.47,0.41,1.00,129.00,24.00,25.00,88,55,15.60,2.88,14.06,4.55,0.33,OFF
136,4.937,1784,0,0,311,0,4082,0,0.47,0.41,1.00,129.00,24.25,25.00,88,55,15.60,2.88,14.06,4.55,0.33,OFF
137,4.974,1789,0,0,295,0,4082,0,0.47,0.41,1.00,129.00,24.25,25.00,88,55,15.55,2.86,14.06,4.57,0.31,OFF
138,5.007,1787,0,0,311,0,4082,0,0.47,0.41,1.00,129.00,24.25,25.00,88,55,15.79,2.96,14.06,4.55,0.33,OFF
139,5.03,1785,0,0,311,0,4082,0,0.47,0.41,1.00,129.00,24.25,25.00,88,55,15.05,2.65,14.06,4.57,0.33,OFF
140,5.06,1778,0,0,295,0,4082,0,0.47,0.41,1.00,129.00,24.00,24.75,88,55,16.13,3.10,14.06,4.57,0.31,OFF
141,5.094,1790,0,0,311,0,4082,0,0.47,0.41,1.00,129.25,24.25,25.00,88,55,15.89,3.00,13.96,4.55,0.33,OFF
142,5.125,1789,0,0,295,0,4082,0,0.47,0.41,1.00,129.25,24.25,25.00,88,55,15.89,3.00,13.96,4.55,0.31,OFF
143,5.157,1806,0,0,295,0,4082,0,0.47,0.41,1.00,129.25,24.50,25.25,88,55,16.08,3.08,13.87,4.55,0.31,OFF
144,5.188,1802,0,0,311,0,4082,0,0.47,0.41,1.00,129.50,24.50,25.25,88,55,15.69,2.92,13.87,4.55,0.33,OFF
145,5.219,1813,0,0,311,0,4082,0,0.47,0.41,1.00,129.50,24.75,25.50,88,55,15.50,2.84,13.87,4.55,0.33,OFF
146,5.267,1822,0,0,311,0,4082,0,0.47,0.41,1.00,129.25,24.75,25.50,88,55,16.13,3.10,13.96,4.55,0.33,OFF
147,5.3,1820,0,0,311,0,4082,0,0.47,0.41,1.00,129.25,24.75,25.50,88,55,15.50,2.84,13.96,4.55,0.33,OFF
148,5.348,1831,0,0,311,0,4082,0,0.47,0.40,1.00,124.25,25.00,25.75,88,55,15.55,2.86,13.87,4.55,0.33,OFF
149,5.378,1831,0,0,295,0,4082,0,0.47,0.41,1.00,129.50,25.00,25.75,88,55,15.50,2.84,13.87,4.57,0.31,OFF
150,5.427,1822,0,0,295,0,4082,0,0.47,0.41,1.00,129.75,24.75,25.50,88,55,16.17,3.12,13.77,4.55,0.31,OFF
151,5.458,1825,0,0,295,0,4082,0,0.47,0.41,1.00,129.75,24.75,25.50,88,55,15.31,2.76,13.77,4.57,0.31,OFF
152,5.508,1838,0,0,295,0,4082,0,0.47,0.41,1.00,129.75,25.00,25.75,88,55,15.89,3.00,13.77,4.55,0.31,OFF
153,5.539,1836,0,0,311,0,4082,0,0.47,0.41,1.00,129.75,25.00,25.75,88,55,15.50,2.84,13.77,4.55,0.33,OFF
154,5.587,1829,0,0,295,0,4082,0,0.47,0.40,1.00,124.75,24.75,25.50,88,55,16.41,3.22,13.77,4.55,0.31,OFF
155,5.618,1832,0,0,295,0,4082,0,0.47,0.40,1.00,124.50,25.00,25.75,88,55,15.05,2.65,13.77,4.55,0.31,OFF
156,5.668,1831,0,0,311,0,4082,0,0.47,0.41,1.00,129.50,25.00,25.75,88,55,16.08,3.08,13.87,4.55,0.33,OFF
157,5.699,1834,0,0,295,0,4082,0,0.47,0.40,1.00,124.50,25.00,25.75,88,55,15.89,3.00,13.87,4.55,0.31,OFF
158,5.747,1834,0,0,311,0,4082,0,0.47,0.40,1.00,124.50,25.00,25.75,88,55,16.27,3.16,13.77,4.55,0.33,OFF
159,5.778,1818,0,0,311,0,4082,0,0.47,0.40,1.00,124.75,24.75,25.50,88,55,15.00,2.63,13.77,4.55,0.33,OFF
160,5.827,1822,0,0,311,0,4082,0,0.47,0.40,1.00,124.50,24.75,25.50,88,55,16.13,3.10,13.87,4.55,0.33,OFF
161,5.86,1811,0,0,295,0,4082,0,0.47,0.41,1.00,129.50,24.50,25.25,88,55,15.50,2.84,13.87,4.55,0.31,OFF
162,5.891,1802,0,0,311,0,4082,0,0.47,0.41,1.00,129.50,24.50,25.25,88,55,15.89,3.00,13.96,4.55,0.33,OFF
163,5.922,1794,0,0,295,0,4082,0,0.47,0.41,1.00,129.25,24.50,25.00,88,55,15.55,2.86,13.96,4.57,0.31,OFF
164,5.954,1808,0,0,295,0,4082,0,0.47,0.41,1.00,129.25,24.50,25.25,88,55,15.89,3.00,13.96,4.55,0.31,OFF
165,6.003,1808,0,0,295,0,4082,0,0.47,0.41,1.00,129.25,24.50,25.25,88,55,16.08,3.08,13.96,4.55,0.31,OFF
166,6.033,1809,0,0,295,0,4082,0,0.47,0.41,1.00,129.25,24.50,25.25,88,55,15.50,2.84,13.96,4.55,0.31,OFF
167,6.083,1820,0,0,311,0,4082,0,0.47,0.41,1.00,129.75,24.75,25.50,88,55,16.17,3.12,13.77,4.57,0.33,OFF
168,6.114,1806,0,0,295,0,4082,0,0.47,0.40,1.00,124.50,24.50,25.25,88,55,16.08,3.08,13.77,4.55,0.31,OFF
169,6.163,1820,0,0,295,0,4082,0,0.47,0.41,1.00,129.00,24.75,25.50,88,55,16.17,3.12,14.06,4.55,0.31,OFF
170,6.193,1815,0,0,311,0,4082,0,0.47,0.40,1.00,124.00,24.75,25.50,88,55,15.31,2.76,14.06,4.55,0.33,OFF
171,6.243,1822,0,0,311,0,4082,0,0.47,0.40,1.00,124.00,24.75,25.50,88,55,15.50,2.84,13.96,4.55,0.33,OFF
172,6.274,1820,0,0,311,0,4082,0,0.47,0.41,1.00,129.25,24.75,25.50,88,55,15.69,2.92,13.96,4.55,0.33,OFF
